Views,Rating,Rating Count,Log Transformed Views,Log Transformed Rating Count,Rating * Log TRC
500000,6.9,24777,5.699,4.394,30.319
500000,5.8,7112,5.699,3.852,22.342
500000,6.3,39434,5.699,4.596,28.955
500000,8.1,30963,5.699,4.491,36.377
500000,7.6,2865,5.699,3.457,26.273
500000,6.4,26416,5.699,4.422,28.301
500000,7.2,10,5.699,1,7.2
400000,3.7,150,5.602,2.176,8.051
400000,7.2,6669,5.602,3.824,27.533
400000,6.8,5115,5.602,3.709,25.221
400000,5.8,1812,5.602,3.258,18.896
400000,5.1,7134,5.602,3.853,19.65
400000,4.4,168,5.602,2.225,9.79
400000,5.9,24467,5.602,4.389,25.895
400000,6.6,4431,5.602,3.647,24.07
400000,5,386,5.602,2.587,12.935
400000,6.3,17989,5.602,4.255,26.807
400000,5.2,4702,5.602,3.672,19.094
400000,6.1,17679,5.602,4.247,25.907
400000,5.6,967,5.602,2.985,16.716
400000,6.7,2613,5.602,3.417,22.894
400000,7,6642,5.602,3.822,26.754
400000,5.2,10895,5.602,4.037,20.992
400000,6.3,14949,5.602,4.175,26.303
400000,7.2,595,5.602,2.775,19.98
400000,6.3,5207,5.602,3.717,23.417
400000,6.1,6715,5.602,3.827,23.345
400000,7.3,459,5.602,2.662,19.433
400000,4.7,3191,5.602,3.504,16.469
400000,6.3,4728,5.602,3.675,23.153
400000,7.4,974,5.602,2.989,22.119
400000,6.8,2834,5.602,3.452,23.474
400000,6.3,3640,5.602,3.561,22.434
400000,7,2816,5.602,3.45,24.15
400000,7.2,194,5.602,2.288,16.474
400000,7.2,663,5.602,2.822,20.318
400000,7.1,1469,5.602,3.167,22.486
300000,6.4,644,5.477,2.809,17.978
300000,5.9,27218,5.477,4.435,26.167
300000,6.3,923,5.477,2.965,18.68
300000,5.9,14672,5.477,4.166,24.579
300000,7.6,4595,5.477,3.662,27.831
300000,6.2,9960,5.477,3.998,24.788
300000,7,23656,5.477,4.374,30.618
300000,6.7,16339,5.477,4.213,28.227
300000,5.6,401,5.477,2.603,14.577
300000,7.4,21972,5.477,4.342,32.131
300000,6.7,7651,5.477,3.884,26.023
300000,6.9,5981,5.477,3.777,26.061
300000,5.4,4455,5.477,3.649,19.705
300000,4.6,14773,5.477,4.169,19.177
300000,6,2401,5.477,3.38,20.28
300000,4.1,3519,5.477,3.546,14.539
300000,6.7,14513,5.477,4.162,27.885
300000,6.2,4953,5.477,3.695,22.909
300000,5.7,4453,5.477,3.649,20.799
300000,5.8,5180,5.477,3.714,21.541
300000,8,5250,5.477,3.72,29.76
300000,5.3,4043,5.477,3.607,19.117
300000,5.2,13,5.477,1.114,5.793
300000,7.1,3418,5.477,3.534,25.091
300000,8.2,6883,5.477,3.838,31.472
300000,6.3,3365,5.477,3.527,22.22
300000,5.9,10710,5.477,4.03,23.777
300000,6.9,1755,5.477,3.244,22.384
300000,6.6,244,5.477,2.387,15.754
300000,6.6,869,5.477,2.939,19.397
300000,7.1,1868,5.477,3.271,23.224
300000,7.4,7990,5.477,3.903,28.882
300000,7.3,358,5.477,2.554,18.644
300000,6.9,3917,5.477,3.593,24.792
300000,7,426,5.477,2.629,18.403
300000,4.8,689,5.477,2.838,13.622
300000,6.7,282,5.477,2.45,16.415
200000,6.1,981,5.301,2.992,18.251
200000,6.7,252,5.301,2.401,16.087
200000,5.1,751,5.301,2.876,14.668
200000,6,2886,5.301,3.46,20.76
200000,7,37,5.301,1.568,10.976
200000,5.9,17923,5.301,4.253,25.093
200000,8.1,6790,5.301,3.832,31.039
200000,6.5,3005,5.301,3.478,22.607
200000,6.5,23642,5.301,4.374,28.431
200000,3.7,197,5.301,2.294,8.488
200000,6.8,15722,5.301,4.197,28.54
200000,6.3,502,5.301,2.701,17.016
200000,5.6,234,5.301,2.369,13.266
200000,5.6,224,5.301,2.35,13.16
200000,5.9,7265,5.301,3.861,22.78
200000,6.9,6391,5.301,3.806,26.261
200000,5.9,6477,5.301,3.811,22.485
200000,4.8,2758,5.301,3.441,16.517
200000,8.2,4943,5.301,3.694,30.291
200000,7.4,9912,5.301,3.996,29.57
200000,5.8,1017,5.301,3.007,17.441
200000,7.5,1234,5.301,3.091,23.183
200000,7.2,8834,5.301,3.946,28.411
200000,7.2,1837,5.301,3.264,23.501
200000,5.7,1488,5.301,3.173,18.086
200000,6.6,37062,5.301,4.569,30.155
200000,6.3,2192,5.301,3.341,21.048
200000,5.1,1567,5.301,3.195,16.295
200000,4.9,5435,5.301,3.735,18.302
200000,6,2833,5.301,3.452,20.712
200000,7.3,6688,5.301,3.825,27.923
200000,8,4130,5.301,3.616,28.928
200000,7.5,1383,5.301,3.141,23.558
200000,6.5,7844,5.301,3.895,25.318
200000,5.5,3950,5.301,3.597,19.784
200000,6.3,2600,5.301,3.415,21.515
200000,7.3,1587,5.301,3.201,23.367
200000,6.1,6266,5.301,3.797,23.162
200000,7.6,13970,5.301,4.145,31.502
200000,5.9,4205,5.301,3.624,21.382
200000,5.5,12684,5.301,4.103,22.567
200000,6.8,38711,5.301,4.588,31.198
200000,5.5,1362,5.301,3.134,17.237
200000,7.7,316,5.301,2.5,19.25
200000,7.2,802,5.301,2.904,20.909
200000,7,1424,5.301,3.154,22.078
200000,7.2,2308,5.301,3.363,24.214
200000,7.3,2429,5.301,3.385,24.711
200000,7,1032,5.301,3.014,21.098
200000,6.6,738,5.301,2.868,18.929
100000,6.6,4194,5,3.623,23.912
100000,5.5,1177,5,3.071,16.891
100000,5.9,432,5,2.635,15.547
100000,7.8,4469,5,3.65,28.47
100000,3.9,368,5,2.566,10.007
100000,6.9,986,5,2.994,20.659
100000,4.7,286,5,2.456,11.543
100000,8.1,25357,5,4.404,35.672
100000,7,344,5,2.537,17.759
100000,6,1934,5,3.286,19.716
100000,7.3,967,5,2.985,21.791
100000,5.4,1113,5,3.046,16.448
100000,7.5,2689,5,3.43,25.725
100000,4.1,185,5,2.267,9.295
100000,4.9,139,5,2.143,10.501
100000,7.9,2007,5,3.303,26.094
100000,6.2,155,5,2.19,13.578
100000,7.2,3334,5,3.523,25.366
100000,5.7,320,5,2.505,14.279
100000,6.5,4167,5,3.62,23.53
100000,3.7,1709,5,3.233,11.962
100000,6.7,733,5,2.865,19.196
100000,7.2,866,5,2.938,21.154
100000,5.3,678,5,2.831,15.004
100000,7.9,4272,5,3.631,28.685
100000,6.8,1436,5,3.157,21.468
100000,6.5,5721,5,3.757,24.421
100000,6.8,27735,5,4.443,30.212
100000,5.6,19572,5,4.292,24.035
100000,8.2,11569,5,4.063,33.317
100000,6.2,9400,5,3.973,24.633
100000,6.1,5561,5,3.745,22.845
100000,6.9,14362,5,4.157,28.683
100000,5.5,1117,5,3.048,16.764
100000,5.5,1915,5,3.282,18.051
100000,6.1,5471,5,3.738,22.802
100000,5.6,562,5,2.75,15.4
100000,7.1,4669,5,3.669,26.05
100000,5.8,193,5,2.286,13.259
100000,5.6,266,5,2.425,13.58
100000,5.4,585,5,2.767,14.942
100000,6.3,14757,5,4.169,26.265
100000,5.2,205,5,2.312,12.022
100000,6.6,503,5,2.702,17.833
100000,8.2,5514,5,3.741,30.676
100000,6.9,1115,5,3.047,21.024
100000,7.1,896,5,2.952,20.959
100000,5.5,677,5,2.831,15.571
100000,7,2254,5,3.353,23.471
100000,5,158,5,2.199,10.995
100000,5.1,283,5,2.452,12.505
100000,6.6,111,5,2.045,13.497
100000,5.1,292,5,2.465,12.572
100000,7.3,7466,5,3.873,28.273
100000,5.2,4638,5,3.666,19.063
100000,5.7,4323,5,3.636,20.725
100000,4.6,2002,5,3.301,15.185
100000,6.2,8696,5,3.939,24.422
100000,6.4,327,5,2.515,16.096
100000,3.5,144,5,2.158,7.553
100000,6.9,912,5,2.96,20.424
100000,5.8,7499,5,3.875,22.475
100000,6.9,1196,5,3.078,21.238
100000,6.2,3437,5,3.536,21.923
100000,7,2309,5,3.363,23.541
100000,6.7,554,5,2.744,18.385
100000,7.1,13991,5,4.146,29.437
100000,4.2,213,5,2.328,9.778
100000,7.2,1201,5,3.08,22.176
100000,6.9,642,5,2.808,19.375
100000,6.5,800,5,2.903,18.87
